text,label
"Купи прямо сейчас и получи скидку 50 процентов!",high
"Попробуйте новый инструмент и улучшите тексты уже сегодня!",high
"Хотите увеличить отклик аудитории? Начните прямо сейчас!",high
"Не упустите шанс сделать свой контент лучше уже сегодня!",high
"Начните использовать этот метод и получите быстрый результат!",high
"Скачайте приложение и начните прямо сейчас!",high
"Узнайте, как улучшить тексты за несколько шагов!",high
"Подпишитесь, чтобы не пропустить полезные советы!",high
"Попробуйте простой способ повысить вовлеченность!",high
"Хотите больше внимания к контенту? Используйте этот подход!",high
"Сделайте свой текст ярче и интереснее уже сегодня!",high
"Начните менять подход к тексту прямо сейчас!",high
"Узнайте секреты эффективного контента прямо сейчас!",high
"Попробуйте новый формат подачи и получите лучший результат!",high
"Хотите больше кликов? Улучшите текст уже сегодня!",high
"Не теряйте время, начните улучшать контент прямо сейчас!",high
"Сделайте текст проще и понятнее уже сегодня!",high
"Попробуйте этот метод и увеличьте вовлеченность!",high
"Начните создавать эффективный контент уже сейчас!",high
"Хотите результат быстрее? Измените текст уже сегодня!",high
"Попробуйте и убедитесь сами, как это работает!",high
"Сделайте текст более живым и привлекательным!",high
"Узнайте, как повысить эффективность текста!",high
"Попробуйте этот инструмент прямо сейчас!",high
"Начните улучшать тексты уже сегодня!",high
"Хотите больше отклика? Действуйте сейчас!",high
"Сделайте текст более убедительным!",high
"Попробуйте улучшить структуру текста уже сегодня!",high
"Не упустите возможность улучшить свой контент!",high
"Начните действовать прямо сейчас!",high
"Попробуйте новый способ подачи информации!",high
"Узнайте, как писать эффективнее!",high
"Сделайте текст понятнее для аудитории!",high
"Начните применять эти советы уже сегодня!",high
"Хотите улучшить результат? Действуйте!",high

"Этот материал посвящен анализу текстового контента.",medium
"В статье рассматриваются методы улучшения текстов.",medium
"Данный текст описывает основные подходы к созданию контента.",medium
"Рассматриваются способы повышения читаемости текста.",medium
"Материал содержит информацию о структуре текста.",medium
"В работе описаны методы анализа текста.",medium
"Статья посвящена вопросам улучшения качества контента.",medium
"Рассматриваются основные характеристики текстов.",medium
"Данный материал описывает подходы к работе с текстами.",medium
"В публикации представлены основные идеи анализа текста.",medium
"Материал посвящен исследованию текстов.",medium
"В статье описаны методы анализа структуры текста.",medium
"Рассматриваются подходы к улучшению подачи информации.",medium
"Данный текст описывает особенности контента.",medium
"Материал содержит описание методов работы с текстом.",medium
"В статье представлены методы повышения эффективности текста.",medium
"Рассматриваются особенности текстовой информации.",medium
"Материал включает анализ структуры текста.",medium
"Данный текст описывает способы улучшения контента.",medium
"В работе рассматриваются подходы к тексту.",medium
"Статья содержит описание методов анализа.",medium
"Рассматриваются характеристики текстового контента.",medium
"Материал описывает основные идеи создания текста.",medium
"В статье представлены основные методы анализа.",medium
"Рассматриваются способы работы с текстом.",medium
"Данный материал посвящен текстам.",medium
"В статье рассматриваются свойства текста.",medium
"Материал описывает особенности подачи информации.",medium
"Рассматриваются методы создания текстов.",medium
"Данный текст содержит описание подходов.",medium
"В статье описаны основные характеристики текста.",medium
"Материал содержит информацию о тексте.",medium
"Рассматриваются методы анализа текста.",medium
"В публикации описаны методы улучшения текста.",medium
"Материал посвящен описанию текстов.",medium

"Текст.",low
"Это описание.",low
"Документ содержит информацию.",low
"Материал включает сведения.",low
"Данный текст.",low
"Информация представлена.",low
"Описание объекта.",low
"Текст содержит данные.",low
"Документ включает описание предмета.",low
"Материал предназначен для ознакомления.",low
"Текст описывает объект.",low
"Информация о предмете.",low
"Документ содержит сведения.",low
"Материал включает описание.",low
"Данный документ.",low
"Описание текста.",low
"Текст предназначен.",low
"Информация содержится.",low
"Документ описывает объект.",low
"Материал содержит текст.",low
"Текстовая информация.",low
"Описание документа.",low
"Данные представлены.",low
"Материал содержит данные.",low
"Текст включает описание.",low
"Документ содержит текст.",low
"Описание информации.",low
"Материал описывает объект.",low
"Текст содержит описание.",low
"Документ включает текст.",low
"Информация в тексте.",low
"Описание материала.",low
"Текстовый материал.",low
"Документ содержит данные.",low
"Материал содержит сведения.",low

"Как увеличить отклик аудитории с помощью простых изменений в тексте",high
"Способ улучшить текст и сделать его понятнее для читателя",high
"Почему одни тексты читают до конца, а другие закрывают сразу",high
"Как сделать текст более убедительным без сложных формулировок",high
"Метод, который помогает удерживать внимание читателя дольше",high
"Что добавить в текст, чтобы он вызывал больше доверия",high
"Как повысить эффективность текста за счёт структуры",high
"Подход, который делает текст более понятным и логичным",high
"Как писать тексты, которые действительно читают",high
"Простой способ сделать текст более живым и интересным",high
"Что изменить в тексте, чтобы его дочитывали до конца",high
"Как сделать текст более понятным без потери смысла",high
"Почему короткие тексты иногда работают лучше длинных",high
"Как адаптировать текст под восприятие аудитории",high
"Способ улучшить текст без увеличения объёма",high
"Как сделать текст более убедительным за счёт конкретики",high
"Что влияет на восприятие текста сильнее всего",high
"Как удержать внимание читателя с первых строк",high
"Почему структура текста важнее сложных слов",high
"Как сделать текст более последовательным и логичным",high
"Способ повысить вовлечённость через формулировки",high
"Как текст может влиять на решение пользователя",high
"Что делает текст понятным с первого прочтения",high
"Как упростить текст и сохранить смысл",high
"Почему читатели не дочитывают тексты до конца",high
"Как улучшить текст за счёт изменения подачи",high
"Что добавить в текст, чтобы он выглядел убедительнее",high
"Как сделать текст более доступным для широкой аудитории",high
"Почему важна простота в тексте",high
"Как сделать текст более читабельным без упрощения идей",high
"Что влияет на восприятие текста в первую очередь",high
"Как повысить качество текста без переписывания с нуля",high
"Почему некоторые тексты запоминаются лучше других",high
"Как сделать текст более понятным и структурированным",high
